year,event
2000,Dot-com bubble
2000,Poutine election
2001,Turkish economic crisi
2001,11 september
2002,Stock market crash
2002,Uruguay banking crisis
2002,Venesuela oil lockout
2002,Euro
2003,Irak war
2004,10 new EU members
2005,Katrina & Rita hurricane
2006,Saddam Hussein execution
2008,Financial crisis
2008,Madoff scandal
2009,H1N1 crisis
2010,Grece economic crisis
2010,Portuguese financial crisis
2011,Fukushima
2011,Arab spring
2012,Poutine election
2012,Venezuela crisis
2013,Ukrenian crisis
2014,Russian financial crisis
2014,Brasilian economic crisis
2014,Obamacare
2014,Crimee war
2015,Grece debt crisis
2015,Chinese stock market crisis
2016,Brexit
